image_name,brightness,sharpness,color_r,color_g,color_b
2022-06-30_01-49-41_UTC.jpg,182.2497,3704.8688526774995,138.65413,206.64627,219.71565
2023-02-03_22-49-06_UTC.jpg,155.1551,5066.429486669375,174.17812,192.48193,193.90047
2023-02-20_14-47-51_UTC_5.jpg,149.5272,884.276324049375,82.1479,68.92717,116.99739
2023-02-20_14-47-51_UTC_2.jpg,139.837775,2392.2772544375,169.43527,119.57329,160.89903
2023-02-20_14-47-51_UTC_1.jpg,139.2079,5014.4791319375,128.00955,8.0373745,12.126609
2023-02-20_14-47-51_UTC_6.jpg,118.607725,758.4052029600001,67.850945,40.87889,25.442223
2023-02-20_14-47-51_UTC_3.jpg,168.510525,2052.21645584,189.5113,142.50883,232.46751
2023-02-20_14-47-51_UTC_7.jpg,77.705875,149.68898976,69.46354,35.078114,14.638749
2023-02-20_14-47-51_UTC_4.jpg,130.939025,867.128543199375,119.39563,31.077065,49.45323
2023-02-20_14-47-51_UTC_8.jpg,117.33425,1267.4754663975,114.69184,131.61043,156.96939
2023-01-10_17-20-01_UTC_1.jpg,155.565175,2636.9601567343752,98.73188,70.93046,63.319042
2023-01-10_17-20-01_UTC_4.jpg,138.53245,264.91957278999996,109.012634,108.13382,99.385
2023-01-10_17-20-01_UTC_2.jpg,104.383425,464.79256449437503,80.66996,73.10821,68.27916
2023-01-10_17-20-01_UTC_3.jpg,138.763625,732.84070796,89.80883,73.0824,59.07393
2023-02-04_12-39-01_UTC_3.jpg,185.5706,499.0014487343749,123.88479,149.58995,216.85887
2023-02-04_12-39-01_UTC_5.jpg,178.67005,1185.828924,161.32877,156.23355,205.65808
2023-02-04_12-39-01_UTC_4.jpg,118.924325,778.500620899375,113.88212,132.75127,159.96524
2023-02-04_12-39-01_UTC_1.jpg,199.118225,835.8994145974999,177.64102,176.3292,226.901
2023-02-04_12-39-01_UTC_2.jpg,95.298625,2365.53426151,21.562107,25.314741,37.2041
2022-05-26_03-30-41_UTC.jpg,131.155675,1964.723711449375,75.40583,65.326195,45.917946
2023-03-27_12-57-46_UTC_1.jpg,123.516775,1062.29338775,84.36476,30.5728,19.095951
2023-03-27_12-57-46_UTC_2.jpg,111.45365,1290.5514906975,78.79594,31.986803,18.1288
2020-07-26_11-38-16_UTC.jpg,136.511625,575.4412990975,116.80331,117.783035,163.02704
2022-12-24_12-45-40_UTC.jpg,127.630375,1491.39265,228.33858,228.62666,223.19255
2022-11-25_10-52-25_UTC_1.jpg,107.06005,1816.259889299375,51.00029,37.135532,38.699944
2022-11-25_10-52-25_UTC_3.jpg,149.8645,1171.6968879843748,106.49411,84.75916,79.51871
2022-11-25_10-52-25_UTC_2.jpg,123.72765,959.3342999375001,74.00733,61.26498,51.648968
2023-02-26_14-06-28_UTC_3.jpg,120.169425,1408.6933571493748,117.7967,135.76828,154.84152
2023-02-26_14-06-28_UTC_2.jpg,104.3283,1018.167550609375,93.82832,112.8411,130.2861
2023-02-26_14-06-28_UTC_5.jpg,110.723625,1191.750798144375,109.188065,128.29892,148.45456
2023-02-26_14-06-28_UTC_4.jpg,109.9073,684.824624609375,53.288895,68.614914,84.325745
2023-02-26_14-06-28_UTC_1.jpg,118.68875,427.12725726937504,72.004555,84.94467,96.59641
2022-06-21_18-12-34_UTC.jpg,141.242925,3730.956710824375,63.478733,85.5815,69.92193
2022-11-14_04-39-25_UTC.jpg,145.0445,1948.28901364,95.42674,123.39712,192.20622
2023-02-28_08-46-28_UTC_3.jpg,146.241,1706.5558349374999,162.87453,162.61858,177.31166
2023-02-28_08-46-28_UTC_2.jpg,146.031675,1959.1089405693751,159.55391,145.44052,146.06676
2023-02-28_08-46-28_UTC_1.jpg,142.0077,3157.561648219375,163.24911,162.8366,178.06741
2023-02-28_19-08-12_UTC_2.jpg,151.806025,1245.9573763974997,146.27113,164.27928,194.87956
2023-02-28_19-08-12_UTC_1.jpg,203.751075,1053.7906983100002,221.86295,214.08829,218.34624
2018-05-27_20-03-03_UTC.jpg,174.448275,1708.7552412974999,59.46655,109.55612,140.5815
2023-02-14_13-08-00_UTC_4.jpg,199.5649,589.32266439,216.51772,217.45197,220.50461
2023-02-14_13-08-00_UTC_1.jpg,192.637925,1373.0505778993752,208.74399,210.63309,214.56802
2023-02-14_13-08-00_UTC_2.jpg,171.345875,1630.61693344,214.15602,220.84135,224.85477
2023-02-14_13-08-00_UTC_3.jpg,167.839775,1631.6799034493752,197.61496,201.82225,211.64723
2023-02-14_13-08-00_UTC_5.jpg,189.612875,1633.2943788775,212.24324,213.1497,217.61766
2023-03-15_05-37-26_UTC_2.jpg,159.6784,545.1434075693751,169.05298,181.79352,188.364
2023-03-15_05-37-26_UTC_1.jpg,158.3731,694.05707696,171.70244,186.42433,192.26277
2023-01-26_04-09-52_UTC_2.jpg,136.628375,2868.7578241974998,153.64796,169.10071,180.47316
2023-01-26_04-09-52_UTC_1.jpg,145.081975,2764.2157200774996,159.66632,174.45343,184.82867
2023-01-23_12-42-56_UTC.jpg,100.62915,9034.443591069376,36.62355,32.90126,34.223408
2023-03-30_12-00-09_UTC_1.jpg,199.575675,726.2934627743749,221.68242,222.43614,222.26302
2023-03-30_12-00-09_UTC_2.jpg,180.3826,920.1032980493749,218.3039,217.94287,217.13913
2023-03-30_12-00-09_UTC_3.jpg,187.542525,885.8326152343748,217.86382,218.3063,217.98364
2021-12-03_11-10-37_UTC_2.jpg,131.32795,914.8985536093749,144.54419,169.24138,189.4338
2021-12-03_11-10-37_UTC_1.jpg,137.746975,998.991115794375,144.59642,169.89005,187.56752
2023-01-29_16-57-12_UTC_2.jpg,166.233375,2098.6499730975,128.33235,85.06233,61.893784
2023-01-29_16-57-12_UTC_1.jpg,154.14325,3252.6825277975,98.47892,68.496796,53.241623
2023-03-27_02-00-56_UTC.jpg,176.606025,3654.5782927100004,29.700632,85.98298,137.15454
2023-03-24_09-26-41_UTC_5.jpg,142.3174,1446.04616636,88.61181,102.192215,111.845764
2023-03-24_09-26-41_UTC_2.jpg,112.5022,2843.3617642775,65.24333,75.66352,70.71472
